ID,Titre,Sous-titre,Date,Lien
LIB_2023_064,"Un âge d’or pour les vaccins ? «Il n’y a pas de nouvelles découvertes, c’est surtout l’aboutissement d’une recherche de longue haleine»","Selon Jean-Daniel Lelièvre, immunologue et spécialiste de la vaccination, les recherches pour trouver des vaccins contre le Covid-19 ont permis de concrétiser des années de travail et ont bénéficié à la lutte contre d’autres pathologies.",2023-12-31,https://www.liberation.fr/societe/sante/un-age-dor-pour-les-vaccins-il-ny-a-pas-de-nouvelles-decouvertes-cest-surtout-laboutissement-dune-recherche-de-longue-haleine-20231231_YFC2RDHVRZBA3G5ULXGLLRD6YE/
LIB_2021_065,"Les regrets des fraudeurs au pass, destruction de vaccins à Toulouse et Nouvelle-Zélande confinée.... Le point sur la pandémie de Covid-19",Le point sur la pandémie de Covid-19 ce mardi,2021-08-17,https://www.liberation.fr/societe/sante/les-regrets-des-fraudeurs-au-pass-destruction-de-vaccins-a-toulouse-et-nouvelle-zelande-confinee-le-point-sur-la-pandemie-de-covid-19-20210817_MCBNBQPCCBHAZKH63GWBI3EURI/
LIB_2022_066,Covid-19: «Tous les Français ne sont pas égaux devant l’accès à la vaccination»,"Passant au crible plus de 180 critères socio-économiques et géographiques, Florence Débarre a participé à une enquête sur les disparités de couverture vaccinale dans le pays. Elle souligne notamment l’importance du taux de chômage.",2022-01-06,https://www.liberation.fr/societe/sante/tous-les-francais-ne-sont-pas-egaux-devant-lacces-a-la-vaccination-20220106_ZWCZLVT5VBF67LUUI5JFVWASB4/
LIB_2021_067,Covid-19: quelle part des Français éligibles à la vaccination la refuse ?,"Dans sa dernière enquête, Santé publique France évalue à 44% la proportion de personnes déclinant le vaccin dans l’Hexagone. Un chiffre en hausse depuis un an, mais largement faussé, car n’incluant pas les individus déjà vaccinés.",2021-05-20,https://www.liberation.fr/checknews/covid-19-quelle-part-des-francais-eligibles-a-la-vaccination-la-refuse-20210520_YRQYINL5WJH3FKDAPU6VV26DLE/
LIB_2021_068,Covid-19 : le vaccin réduit-il le risque de transmission du virus?,Les vaccins réduisent bien le risque d’infection. Les vaccinés qui sont infectés ont une charge virale plus faible que les non-vaccinés. La vaccination apparaît efficace pour réduire les chaînes de contamination.,2021-06-13,https://www.liberation.fr/checknews/covid-19-le-vaccin-reduit-il-aussi-le-risque-de-transmission-du-virus-20210613_NKPLCFH7PJC2VAYF2P7D6J3VLI/
LIB_2022_069,Epidémies : la grippe menace alors que le Covid-19 circule encore activement,"Alors que l’épidémie est toujours bien présente avec 50 000 cas positifs quotidiens, la campagne vaccinale contre la grippe s’est lancée. Et avec, les autorités de santé espèrent relancer les vaccinations contre le coronavirus.",2022-10-23,https://www.liberation.fr/societe/sante/epidemies-la-grippe-menace-alors-que-le-covid-19-circule-encore-activement-20221023_D2MOZZJNRRB3BD3LK4DRQTO5RQ/
LIB_2022_070,Covid-19 : Le ministre de la Santé lance un «appel solennel» à la vaccination,"François Braun a fortement incité ce dimanche les plus fragiles à se faire vacciner, et persiste à conseiller le port du masque dans les lieux clos, sans plaider pour le moment pour son obligation.",2022-12-04,https://www.liberation.fr/societe/sante/covid-19-le-ministre-de-la-sante-lance-un-appel-solennel-a-la-vaccination-20221204_2X5ZSQNCO5HW3FI6NCKJ2ZHASQ/
LIB_2024_071,"Vaccination Covid : en santé publique, il n’y a pas de camp, il y a la vérité scientifique","Christian Lehmann est médecin et écrivain. Pour «Libération», il tient la chronique d’une société longtemps traversée par le coronavirus.",2024-01-28,https://www.liberation.fr/societe/sante/vaccination-covid-en-sante-publique-il-ny-a-pas-de-camp-il-y-a-la-verite-scientifique-20240128_A4ZSBBVXZJFINFZGKMNBZVGFYQ/
LIB_2021_072,En direct - Covid-19 : L’Afrique du Sud suspend sa campagne de vaccination,"Vaccination, reconfinement, bilan épidémique, mutation du virus… Retrouvez les dernières informations sur la crise sanitaire liée à la pandémie de Covid-19.",2021-02-07,https://www.liberation.fr/international/en-direct-covid-19-loms-appelle-a-un-partage-des-technologies-20210206_D22L4XJXCBDN5L3E3CT4LXI56I/
LIB_2021_073,Covid-19 : y a-t-il des professions pour lesquelles le vaccin est obligatoire ?,Les professionnels de santé n'ont pas pour obligation de se faire vacciner contre le Covid-19. D'autres vaccins leur sont pourtant imposés en France.,2021-02-20,https://www.liberation.fr/checknews/covid-19-y-a-t-il-des-professions-pour-lesquelles-le-vaccin-est-obligatoire-20210220_HBPESPZGQJAEZFOI3G7WGCZCOM/
LIB_2021_074,"Covid-19 : au Mexique, pas de vaccins sans uniformes","Depuis son investiture, le président Amlo a largement étendu les pouvoirs des militaires. Leur dernière mission : l’organisation de la vaccination, dans une opération de communication qui cache une gestion catastrophique de l'épidémie.",2021-03-19,https://www.liberation.fr/international/amerique/covid-19-au-mexique-pas-de-vaccins-sans-uniformes-20210319_5TURDNTITVBXFKBSUBWBSGEJGY/
LIB_2021_075,Vaccin Covid-19 : des mesures incitatives pour dépasser le plafond de verre ?,"Pour atteindre l’immunité collective, nous ne devons pas rejeter d’emblée les «incentives» comme de l’argent cash, des bons d’achat, ou des congés payés qui ont prouvé leur efficacité ailleurs. Un débat doit s’ouvrir.",2021-06-04,https://www.liberation.fr/idees-et-debats/tribunes/vaccin-covid-19-des-mesures-incitatives-pour-depasser-le-plafond-de-verre-20210604_KH6ONCPMMJDC5FQI7VJCIF2RDE/
